Id,y
50100,1.7519069
50101,2.2019963
50102,1.6166257
50103,2.0528708
50104,1.691593
50105,1.6657062
50106,2.0101871
50107,2.31939
50108,1.751745
50109,2.0417995
50110,1.7395184
50111,1.9099034
50112,1.5687083
50113,1.6559175
50114,1.6688122
50115,2.0519223
50116,1.5012838
50117,1.6834813
50118,1.8569857
50119,1.6907076
50120,2.0080159
50121,2.1000507
50122,1.3518128
50123,2.071925
50124,1.312066
50125,1.9207681
50126,1.3570788
50127,2.123307
50128,1.5067794
50129,1.6502738
50130,1.9145107
50131,2.0826554
50132,1.717472
50133,1.7082671
50134,1.819403
50135,2.2792633
50136,1.7063464
50137,1.9461489
50138,1.7211311
50139,1.8729842
50140,2.130148
50141,2.3739185
50142,1.9886507
50143,1.8880904
50144,1.72589
50145,1.8904407
50146,1.8176492
50147,2.3924558
50148,1.7361083
50149,1.8054245
50150,1.5332787
50151,1.4483237
50152,1.5562756
50153,2.0433686
50154,1.9829544
50155,2.3054428
50156,1.7270815
50157,1.1774564
50158,2.4087849
50159,1.3024813
50160,1.5968584
50161,2.1099002
50162,2.103187
50163,2.0358977
50164,1.4472443
50165,1.332301
50166,1.2146107
50167,1.8652391
50168,1.7577187
50169,1.4991479
50170,2.0363755
50171,2.0329726
50172,1.5521226
50173,1.8970063
50174,2.1724958
50175,1.7061373
50176,2.179405
50177,2.3489091
50178,2.3966258
50179,1.543029
50180,2.2935123
50181,1.9984821
50182,2.1660056
50183,1.5150131
50184,2.3100562
50185,2.188948
50186,2.0088024
50187,2.2369485
50188,2.206287
50189,2.1862512
50190,2.3734357
50191,1.9061223
50192,2.0395813
50193,2.1886477
50194,1.7175016
50195,1.7277033
50196,2.266788
50197,1.5964274
50198,1.7981718
50199,2.4048123
50200,1.8615158
50201,2.4451709
50202,1.8069457
50203,1.9354607
50204,1.5829827
50205,1.8025684
50206,1.5602552
50207,2.0280828
50208,2.0418665
50209,1.8545165
50210,1.958322
50211,1.4797095
50212,1.6042113
50213,2.3325942
50214,1.8448336
50215,1.4836856
50216,1.4904841
50217,1.6562674
50218,1.9095378
50219,2.0742874
50220,2.0872116
50221,2.020135
50222,1.9380097
50223,1.6104525
50224,1.8416692
50225,2.228386
50226,1.9668624
50227,2.1599443
50228,1.5669346
50229,2.1660728
50230,2.0515625
50231,1.7816706
50232,2.066498
