Id,y
50100,1.8930652
50101,1.8406159
50102,1.8463429
50103,2.0460627
50104,1.842488
50105,1.8175094
50106,1.8643606
50107,1.8320377
50108,1.8333786
50109,1.8580565
50110,1.6645527
50111,1.8372598
50112,1.8541241
50113,1.8991195
50114,1.9300548
50115,1.8862818
50116,1.9283124
50117,1.8890718
50118,1.8863053
50119,1.8097119
50120,1.8627609
50121,1.898159
50122,1.5426927
50123,1.8252517
50124,1.8481483
50125,1.7291181
50126,1.8105228
50127,1.868022
50128,1.7762281
50129,1.7412649
50130,1.9016513
50131,1.869546
50132,1.8281368
50133,1.793355
50134,1.801806
50135,1.8713163
50136,1.7583697
50137,1.8850168
50138,1.9392939
50139,1.9095352
50140,1.8878458
50141,1.9465864
50142,1.732719
50143,1.8102297
50144,1.9120443
50145,1.8671751
50146,1.9228945
50147,1.7817457
50148,1.8776194
50149,1.8897264
50150,1.7740017
50151,1.834025
50152,1.8634467
50153,1.923894
50154,1.759356
50155,1.931401
50156,2.0832174
50157,1.8471112
50158,1.8442476
50159,1.7375765
50160,1.8598393
50161,1.9071662
50162,2.3141382
50163,1.8804512
50164,1.873754
50165,1.8468059
50166,1.8176671
50167,1.8998386
50168,1.838645
50169,1.578752
50170,1.8192042
50171,2.0112226
50172,1.8606219
50173,1.823035
50174,1.8682084
50175,1.505683
50176,2.081718
50177,1.8352267
50178,1.8670996
50179,1.8427601
50180,1.864268
50181,1.7563888
50182,1.832917
50183,1.7665133
50184,1.826523
50185,1.7250118
50186,1.8933816
50187,1.9677238
50188,1.9493434
50189,1.8609097
50190,1.9638226
50191,2.0720294
50192,1.9320492
50193,2.2223458
50194,1.8486965
50195,1.7698923
50196,1.8119816
50197,1.8611
50198,1.8808292
50199,1.8434544
50200,1.8526993
50201,2.018779
50202,1.6869912
50203,1.8131366
50204,1.7300805
50205,1.670462
50206,2.0330799
50207,1.8520108
50208,1.796933
50209,1.5487058
50210,1.8860207
50211,1.766805
50212,1.86175
50213,1.8810227
50214,1.8564445
50215,1.881084
50216,1.6024585
50217,1.7967635
50218,1.839078
50219,1.8428423
50220,2.2416818
50221,2.0976892
50222,2.047942
50223,1.8908585
50224,1.5391207
50225,1.8464985
50226,1.8597653
50227,1.8759794
50228,1.8753387
50229,1.9137541
50230,1.8424176
50231,1.8278509
50232,1.9031178
50233,1.8281091
50234,1.855346
50235,1.7704872
50236,1.8370299
50237,1.8177416
50238,1.7793726
50239,1.8698449
50240,1.753827
50241,1.605736
50242,1.8767014
50243,1.8575208
50244,1.7527338
50245,1.7718724
50246,1.8431398
50247,1.8708268
50248,1.9086381
50249,1.8937328
50250,1.7725797
50251,1.8863426
50252,1.7920603
50253,1.8921987
50254,1.856259
50255,1.8102913
50256,1.8934423
50257,1.8628241
50258,1.873809
50259,1.8138756
50260,1.6186819
50261,1.8059511
50262,1.8549327
50263,1.7915001
50264,1.7358544
50265,1.9021288
50266,1.8525399
50267,1.9179451
50268,1.9066318
50269,1.8254975
50270,1.8844846
50271,1.9253021
50272,1.9878525
50273,1.8200959
50274,1.8858294
50275,1.7933748
50276,1.8183637
50277,1.9062368
50278,1.7764072
50279,1.6980414
50280,2.009416
50281,1.6998761
50282,2.0157917
50283,1.7884046
50284,1.8405714
50285,1.467342
50286,1.8800957
50287,1.9297521
50288,1.9256822
50289,1.8127577
50290,1.8994352
50291,2.1169453
50292,1.9024895
50293,1.9367279
50294,1.8332063
50295,1.8082868
50296,2.0089853
50297,1.7613411
50298,1.9348794
50299,1.9282078
50300,1.8356129
50301,1.8678291
50302,1.9514662
50303,1.8154598
50304,1.7987486
50305,1.4740986
50306,1.5881485
50307,1.7549163
50308,1.8193696
50309,1.8853271
50310,1.8562199
50311,1.8216588
50312,1.9024183
50313,2.0259576
50314,1.807914
